case_id,min,max,duration_hours
000112d5-9d04-450f-820f-3edfc0626cf9,2022-04-19 01:47:54.857481,2022-05-20 15:04:57.957352,757.284194408611
0001c62c-696c-4251-a604-8d319fc73fac,2023-02-15 11:04:00.795831,2023-03-18 03:23:37.034387,736.3267329322222
00048c02-65b5-423b-bf38-139a099a5624,2022-10-17 07:17:51.529389,2022-11-20 19:31:26.381136,828.2263477075
0005b367-5a31-4bcd-82f3-05103f43b462,2022-01-08 08:07:10.008508,2022-02-14 00:06:17.785847,879.9854937052777
000694f5-9a75-4885-ab77-7842d78188ae,2020-06-25 02:15:16.317403,2020-07-20 09:08:13.016962,606.8824165441666
000771f4-d1b6-4d3e-a81b-31b792d1a98c,2020-11-06 10:02:46.847221,2020-12-17 19:28:50.150731,993.434250975
000bb4cc-ee97-4e5a-8a8e-ac2cca9c3569,2020-04-26 03:41:09.238333,2020-05-31 04:14:00.225472,840.5474964275
000c42da-1781-4faa-96cc-dac76d35ef04,2021-11-24 20:58:12.255240,2021-12-30 02:05:59.519383,845.1297955952778
000f1f69-8808-445d-8339-33de46ea2f7a,2022-06-21 22:08:17.093371,2022-08-01 05:43:13.452618,967.5823220130555
0011ffd8-81d3-4559-b6fb-126f1e4c0879,2020-11-19 22:48:25.645492,2020-12-22 05:45:17.278902,774.9476759472221
0014d7d8-fe2a-43d8-8b13-109cb93c5296,2022-12-18 21:57:15.473180,2023-01-23 20:12:39.753060,862.2567444111111
0016d5e0-661e-45a1-a116-af610a157613,2020-05-28 14:30:53.468345,2020-06-27 06:39:43.390650,712.1472006402778
0019ec48-b0a4-4e72-bc55-9ba999a81382,2021-07-21 00:47:36.452626,2021-09-01 19:01:41.584927,1026.2347589725
001ce6b1-111c-41cc-9c1b-656a901a6e30,2022-11-02 21:27:06.019162,2022-12-04 11:51:14.847271,758.4024522525
001fabc4-e984-467e-8e6c-44f4b9531ec4,2022-12-19 04:22:11.120837,2023-01-25 22:28:17.383638,906.1017396669445
001fd226-cc8d-4a38-a712-be681487f6c2,2022-07-30 00:11:54.730553,2022-09-07 22:06:31.341521,957.9101697133333
002157e8-e929-446b-98b9-966af2efbe8d,2022-09-22 12:03:30.219924,2022-10-22 22:27:05.185660,730.3930460377777
0022e4fd-396a-461a-9983-7660d3b3e592,2022-03-05 17:30:40.801431,2022-04-14 22:07:40.526483,964.6165902922222
0024fe8b-bd83-4280-8f98-9ce810340505,2022-02-19 23:30:29.368445,2022-03-17 05:04:38.945441,605.5693269433333
002533c3-b4f9-467c-8481-7a7782565c31,2021-06-24 14:02:34.557655,2021-08-04 15:26:40.470668,985.4016425036111
0026450b-c983-4a75-be84-180a85149e82,2023-03-18 06:59:44.594568,2023-04-23 17:38:46.635068,874.6505668055556
0028c17a-3fb1-4f1e-909a-e5825480517f,2022-08-06 12:22:36.749579,2022-09-08 16:36:14.789692,796.2272333647222
0028fc09-44ae-490d-a258-79630153fb4e,2021-11-20 09:08:06.638081,2021-12-17 13:28:35.466915,652.3413413427778
002e231a-909c-40e1-9465-cf331ba15d73,2020-08-03 20:03:46.693984,2020-09-07 18:26:44.385309,838.3826920347223
002f2739-6d0d-434b-ad15-e95ee467511d,2021-04-02 16:55:52.823513,2021-05-09 19:50:55.031513,890.91728
003082d8-6a70-4fce-9ee3-69cbdfb837dc,2021-04-20 11:43:46.586236,2021-05-29 02:28:57.724007,926.7530938252778
00309042-5563-4f29-9d70-8a121685e1f6,2021-05-03 07:37:39.234076,2021-06-02 15:58:57.268288,728.3550095033333
00321d48-0336-4795-96db-62c6a117298d,2021-01-14 14:36:58.532126,2021-02-13 07:49:45.529040,713.2130546983333
0036f45c-5b00-4f34-8381-8aed06534500,2022-03-30 23:54:52.151957,2022-05-02 14:43:49.947365,782.8160542799999
0038a6dc-1165-4ea4-ad53-48bf681cd80f,2020-08-26 02:04:03.549592,2020-09-27 03:17:13.313548,769.2193788766667
003acbc7-46f6-4abd-9924-cb5f4d2245cd,2021-01-13 23:05:39.735732,2021-02-21 10:15:19.292775,923.1609880675
